"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,26,-0.913728885746349,0.4057078828046
0.3,0.1,26.01,-0.913652529514177,0.405879565922194
0.3,0.1,26.02,-0.913576126680016,0.406051266876175
0.3,0.1,26.03,-0.913499677219486,0.406222985671691
0.3,0.1,26.04,-0.913423181108191,0.406394722313882
0.3,0.1,26.05,-0.913346638321718,0.406566476807885
0.3,0.1,26.06,-0.913270048835637,0.406738249158836
0.3,0.1,26.07,-0.913193412625506,0.406910039371866
0.3,0.1,26.08,-0.913116729666864,0.407081847452104
0.3,0.1,26.09,-0.913039999935233,0.407253673404676
0.3,0.1,26.1,-0.912963223406122,0.407425517234704
0.3,0.1,26.11,-0.912886400055021,0.407597378947306
0.3,0.1,26.12,-0.912809529857405,0.407769258547599
0.3,0.1,26.13,-0.912732612788735,0.407941156040697
0.3,0.1,26.14,-0.912655648824451,0.408113071431708
0.3,0.1,26.15,-0.912578637939985,0.408285004725737
0.3,0.1,26.16,-0.912501580110743,0.408456955927889
0.3,0.1,26.17,-0.91242447531212,0.408628925043264
0.3,0.1,26.18,-0.912347323519498,0.40880091207696
0.3,0.1,26.19,-0.912270124708235,0.408972917034068
0.3,0.1,26.2,-0.912192878853679,0.40914493991968
0.3,0.1,26.21,-0.912115585931159,0.409316980738881
0.3,0.1,26.22,-0.912038245915988,0.409489039496758
0.3,0.1,26.23,-0.911960858783465,0.409661116198388
0.3,0.1,26.24,-0.911883424508868,0.409833210848852
0.3,0.1,26.25,-0.911805943067463,0.410005323453221
0.3,0.1,26.26,-0.911728414434497,0.410177454016566
0.3,0.1,26.27,-0.911650838585204,0.410349602543955
0.3,0.1,26.28,-0.911573215494795,0.410521769040452
0.3,0.1,26.29,-0.911495545138472,0.410693953511117
0.3,0.1,26.3,-0.911417827491418,0.410866155961007
0.3,0.1,26.31,-0.911340062528796,0.411038376395177
0.3,0.1,26.32,-0.911262250225758,0.411210614818676
0.3,0.1,26.33,-0.911184390557435,0.411382871236553
0.3,0.1,26.34,-0.911106483498944,0.411555145653851
0.3,0.1,26.35,-0.911028529025384,0.411727438075609
0.3,0.1,26.36,-0.91095052711184,0.411899748506866
0.3,0.1,26.37,-0.910872477733377,0.412072076952655
